category,accuracy,grp_size,gt_id,run_id
interest,0.6360294117647058,272,baseline_run-GT_TOPIC_interest,baseline_run
pet-chem,0.7368421052631579,19,baseline_run-GT_TOPIC_pet-chem,baseline_run
hog,1.0,1,baseline_run-GT_TOPIC_hog,baseline_run
rand,1.0,1,baseline_run-GT_TOPIC_rand,baseline_run
cocoa,0.9344262295081968,61,baseline_run-GT_TOPIC_cocoa,baseline_run
lumber,1.0,14,baseline_run-GT_TOPIC_lumber,baseline_run
tin,0.8888888888888888,27,baseline_run-GT_TOPIC_tin,baseline_run
heat,0.8,10,baseline_run-GT_TOPIC_heat,baseline_run
gas,0.8333333333333334,18,baseline_run-GT_TOPIC_gas,baseline_run
potato,0.6,5,baseline_run-GT_TOPIC_potato,baseline_run
strategic-metal,0.8666666666666667,15,baseline_run-GT_TOPIC_strategic-metal,baseline_run
zinc,0.8461538461538461,13,baseline_run-GT_TOPIC_zinc,baseline_run
fuel,0.8181818181818182,11,baseline_run-GT_TOPIC_fuel,baseline_run
grain,0.9019607843137255,51,baseline_run-GT_TOPIC_grain,baseline_run
ship,0.875,144,baseline_run-GT_TOPIC_ship,baseline_run
cotton,0.9166666666666666,24,baseline_run-GT_TOPIC_cotton,baseline_run
jobs,0.40816326530612246,49,baseline_run-GT_TOPIC_jobs,baseline_run
tea,1.0,5,baseline_run-GT_TOPIC_tea,baseline_run
coconut,1.0,1,baseline_run-GT_TOPIC_coconut,baseline_run
money-supply,0.304635761589404,151,baseline_run-GT_TOPIC_money-supply,baseline_run
alum,0.64,50,baseline_run-GT_TOPIC_alum,baseline_run
jet,1.0,3,baseline_run-GT_TOPIC_jet,baseline_run
l-cattle,1.0,1,baseline_run-GT_TOPIC_l-cattle,baseline_run
rubber,0.95,40,baseline_run-GT_TOPIC_rubber,baseline_run
wpi,0.782608695652174,23,baseline_run-GT_TOPIC_wpi,baseline_run
retail,0.5,20,baseline_run-GT_TOPIC_retail,baseline_run
meal-feed,1.0,11,baseline_run-GT_TOPIC_meal-feed,baseline_run
cpi,0.7464788732394366,71,baseline_run-GT_TOPIC_cpi,baseline_run
livestock,0.6818181818181818,22,baseline_run-GT_TOPIC_livestock,baseline_run
dlr,1.0,6,baseline_run-GT_TOPIC_dlr,baseline_run
gnp,0.918918918918919,74,baseline_run-GT_TOPIC_gnp,baseline_run
silver,0.75,4,baseline_run-GT_TOPIC_silver,baseline_run
lead,0.875,8,baseline_run-GT_TOPIC_lead,baseline_run
trade,0.8343558282208589,326,baseline_run-GT_TOPIC_trade,baseline_run
carcass,0.7272727272727273,11,baseline_run-GT_TOPIC_carcass,baseline_run
housing,0.9411764705882353,17,baseline_run-GT_TOPIC_housing,baseline_run
rice,1.0,1,baseline_run-GT_TOPIC_rice,baseline_run
nickel,1.0,4,baseline_run-GT_TOPIC_nickel,baseline_run
copper,0.6818181818181818,44,baseline_run-GT_TOPIC_copper,baseline_run
nat-gas,0.8611111111111112,36,baseline_run-GT_TOPIC_nat-gas,baseline_run
iron-steel,0.9210526315789473,38,baseline_run-GT_TOPIC_iron-steel,baseline_run
propane,1.0,1,baseline_run-GT_TOPIC_propane,baseline_run
nzdlr,1.0,1,baseline_run-GT_TOPIC_nzdlr,baseline_run
gold,0.8222222222222222,90,baseline_run-GT_TOPIC_gold,baseline_run
coffee,0.9285714285714286,112,baseline_run-GT_TOPIC_coffee,baseline_run
ipi,0.6444444444444445,45,baseline_run-GT_TOPIC_ipi,baseline_run
money-fx,0.6601941747572816,309,baseline_run-GT_TOPIC_money-fx,baseline_run
instal-debt,0.8333333333333334,6,baseline_run-GT_TOPIC_instal-debt,baseline_run
yen,1.0,6,baseline_run-GT_TOPIC_yen,baseline_run
acq,0.6849912739965096,2292,baseline_run-GT_TOPIC_acq,baseline_run
bop,0.5806451612903226,31,baseline_run-GT_TOPIC_bop,baseline_run
groundnut,1.0,2,baseline_run-GT_TOPIC_groundnut,baseline_run
lei,0.7857142857142857,14,baseline_run-GT_TOPIC_lei,baseline_run
platinum,1.0,3,baseline_run-GT_TOPIC_platinum,baseline_run
veg-oil,0.8666666666666667,30,baseline_run-GT_TOPIC_veg-oil,baseline_run
orange,0.6818181818181818,22,baseline_run-GT_TOPIC_orange,baseline_run
naphtha,1.0,1,baseline_run-GT_TOPIC_naphtha,baseline_run
crude,0.7379679144385026,374,baseline_run-GT_TOPIC_crude,baseline_run
income,0.45454545454545453,11,baseline_run-GT_TOPIC_income,baseline_run
cpu,1.0,4,baseline_run-GT_TOPIC_cpu,baseline_run
earn,0.5850114708131532,3923,baseline_run-GT_TOPIC_earn,baseline_run
oilseed,0.8888888888888888,9,baseline_run-GT_TOPIC_oilseed,baseline_run
dmk,1.0,1,baseline_run-GT_TOPIC_dmk,baseline_run
sugar,0.8360655737704918,122,baseline_run-GT_TOPIC_sugar,baseline_run
reserves,0.6326530612244898,49,baseline_run-GT_TOPIC_reserves,baseline_run
